,79bd5,f6bf0
sci014_8,0,0
sci014_9,0,0
sci014_10,0,0
sci014_11,0,0
sci014_12,0,0
sci014_13,0,0
sci014_14,0,0
sci014_15,0,0
sci014_16,0,0
sci014_17,0,0
sci014_18,0,0
sci014_19,0,0
sci014_20,0,0
sci014_21,0,0
sci014_22,0,0
sci014_23,0,0
sci014_24,0,0
sci014_25,0,0
sci014_26,0,0
sci014_27,0,0
sci014_28,0,0
sci014_29,0,0
sci014_30,0,0
sci014_31,0,0
sci014_32,0,0
sci015_0,0,0
sci015_1,0,0
sci015_2,0,0
sci015_3,0,0
sci015_4,0,0
sci015_5,0,0
sci015_6,0,0
sci015_7,0,0
sci015_8,0,0
sci015_9,0,0
sci015_10,0,0
sci015_11,0,0
sci015_12,0,0
sci015_13,0,0
sci015_14,0,0
sci015_15,0,0
sci015_16,0,0
sci015_17,0,0
sci015_18,0,0
sci015_19,0,0
sci015_20,0,0
sci015_21,0,0
sci015_22,0,0
sci015_23,0,0
sci015_24,0,0
sci015_25,0,0
sci015_26,0,0
sci015_27,0,0
sci016_0,0,0
sci016_1,0,0
sci016_2,0,0
sci016_3,0,0
sci016_4,0,0
sci016_5,0,0
sci016_6,0,0
sci016_7,0,0
sci016_8,0,0
sci016_9,0,0
sci016_10,0,0
sci016_11,0,0
sci016_12,0,0
sci016_13,0,0
sci016_14,0,0
sci016_15,0,0
sci016_16,0,0
sci016_17,0,0
sci016_18,0,0
sci016_19,0,0
sci016_20,0,0
sci016_21,0,0
sci016_22,0,0
sci016_23,0,0
sci016_24,0,0
sci016_25,0,0
sci016_26,0,0
sci016_27,0,0
sci016_28,0,0
sci016_29,0,0
sci016_30,0,0
sci016_31,0,0
sci016_32,0,0
sci016_33,0,0
sci016_34,0,0
sci017_0,0,0
sci017_1,0,0
sci017_2,0,0
sci017_3,0,0
sci017_4,0,0
sci017_5,0,0
sci017_6,0,0
sci017_7,0,0
sci017_8,0,0
sci017_9,0,0
sci017_10,0,0
sci017_11,0,0
sci017_12,0,0
sci017_13,0,0
sci017_14,0,0
sci017_15,0,0
sci017_16,0,0
sci017_17,0,0
sci017_18,0,0
sci017_19,0,0
sci017_20,0,0
sci017_21,0,0
sci017_22,0,0
sci017_23,0,0
sci017_24,0,0
sci017_25,0,0
sci017_26,0,0
sci017_27,0,0
sci017_28,0,0
sci017_29,0,0
sci017_30,0,0
sci017_31,0,0
sci017_32,0,0
sci017_33,0,0
sci017_34,0,0
sci017_35,0,0
sci017_36,0,0
sci017_37,0,0
sci018_0,0,0
sci018_1,0,0
sci018_2,0,0
sci018_3,0,0
sci018_4,0,0
sci018_5,0,0
sci018_6,0,0
sci018_7,0,0
sci018_8,0,0
sci018_9,0,0
sci018_10,0,0
sci018_11,0,0
sci018_12,0,0
sci018_13,0,0
sci018_14,0,0
sci018_15,0,0
sci018_16,0,0
sci018_17,0,0
sci018_18,0,0
sci018_19,0,0
sci018_20,0,0
sci018_21,0,0
sci018_22,0,0
sci018_23,0,0
sci018_24,0,0
sci018_25,0,0
sci018_26,0,0
sci018_27,0,0
sci018_28,0,0
sci018_29,0,0
sci018_30,0,0
sci018_31,0,0
sci018_32,0,0
sci018_33,0,0
sci018_34,0,0
sci018_35,0,0
sci019_0,0,0
sci019_1,0,0
sci019_2,0,0
sci019_3,0,0
